SitePlot,Site,Plot,Location,Common,PA,SitePlotNew,Avg_rugosity,Rugosity_variance
M0873,M08,73,M,Yellowtail,1,M0869,1.2374487234406177,0.009146952736898827
M0873,M08,73,M,Schoolmaster,0,M0869,1.2374487234406177,0.009146952736898827
M0874,M08,74,M,Yellowtail,1,M0870,1.035942683554482,4.5555154463858895e-4
M0874,M08,74,M,Schoolmaster,0,M0870,1.035942683554482,4.5555154463858895e-4
M0875,M08,75,M,Yellowtail,1,M0871,1.3108597657408958,0.006283055711799935
M0875,M08,75,M,Schoolmaster,0,M0871,1.3108597657408958,0.006283055711799935
M0876,M08,76,M,Yellowtail,1,M0872,1.3160500561346622,0.011330225440382067
M0876,M08,76,M,Schoolmaster,0,M0872,1.3160500561346622,0.011330225440382067
M1005,M10,05,M,Yellowtail,1,M1081,1.070005228185752,7.735531919577109e-4
M1005,M10,05,M,Schoolmaster,0,M1081,1.070005228185752,7.735531919577109e-4
M1006,M10,06,M,Yellowtail,1,M1082,1.0424889960330896,2.7300502667502877e-4
M1006,M10,06,M,Schoolmaster,0,M1082,1.0424889960330896,2.7300502667502877e-4
M1007,M10,07,M,Yellowtail,1,M1083,1.1122588391816643,0.001305171224801648
M1007,M10,07,M,Schoolmaster,0,M1083,1.1122588391816643,0.001305171224801648
M1260,M12,60,M,Yellowtail,1,M1254,1.205690432796157,0.007194356358080715
M1260,M12,60,M,Schoolmaster,1,M1254,1.205690432796157,0.007194356358080715
M1292,M12,92,M,Yellowtail,1,M1256,1.1829768489488268,0.004297226698780386
M1292,M12,92,M,Schoolmaster,1,M1256,1.1829768489488268,0.004297226698780386
M1509,M15,09,M,Yellowtail,1,M1564,1.161426424127361,0.0019332631187021553
M1509,M15,09,M,Schoolmaster,0,M1564,1.161426424127361,0.0019332631187021553
M1762,M17,62,M,Yellowtail,1,M1789,1.1961549243903502,0.0035347149296000076
M1762,M17,62,M,Schoolmaster,0,M1789,1.1961549243903502,0.0035347149296000076
M2870,M28,70,M,Yellowtail,1,M2874,1.1721315149813512,0.007455093056457662
M2870,M28,70,M,Schoolmaster,0,M2874,1.1721315149813512,0.007455093056457662
M3837,M38,37,M,Yellowtail,1,M3857,1.0881444899886397,0.006789197390564895
M3837,M38,37,M,Schoolmaster,0,M3857,1.0881444899886397,0.006789197390564895
M3839,M38,39,M,Yellowtail,1,M3859,1.2462222313900775,0.008698673103450233
M3839,M38,39,M,Schoolmaster,1,M3859,1.2462222313900775,0.008698673103450233
M3840,M38,40,M,Yellowtail,1,M3860,1.2833785219168725,0.018536460744475437
M3840,M38,40,M,Schoolmaster,1,M3860,1.2833785219168725,0.018536460744475437
M4338,M43,38,M,Yellowtail,1,M4365,1.1646942552499848,0.00279804112836267
M4338,M43,38,M,Schoolmaster,1,M4365,1.1646942552499848,0.00279804112836267
M4378,M43,78,M,Yellowtail,1,M4366,1.2548661357567596,0.0055643242377768996
M4378,M43,78,M,Schoolmaster,1,M4366,1.2548661357567596,0.0055643242377768996
M4380,M43,80,M,Yellowtail,1,M4367,1.187100288285928,0.018724345779660468
M4380,M43,80,M,Schoolmaster,0,M4367,1.187100288285928,0.018724345779660468
M4381,M43,81,M,Yellowtail,1,M4368,1.1657102564266673,0.005365207494052539
M4381,M43,81,M,Schoolmaster,0,M4368,1.1657102564266673,0.005365207494052539
M4503,M45,03,M,Yellowtail,1,M4587,1.0570333369370901,3.8026041780785634e-4
M4503,M45,03,M,Schoolmaster,0,M4587,1.0570333369370901,3.8026041780785634e-4
M4504,M45,04,M,Yellowtail,1,M4588,1.0745062748464773,6.605725164289007e-4
M4504,M45,04,M,Schoolmaster,0,M4588,1.0745062748464773,6.605725164289007e-4
M4896,M48,96,M,Yellowtail,1,M4852,1.1276248704246532,0.003355134354111127
M4896,M48,96,M,Schoolmaster,0,M4852,1.1276248704246532,0.003355134354111127
M7309,M73,09,M,Yellowtail,1,M7377,1.45102729014056,0.09073131644033536
M7309,M73,09,M,Schoolmaster,1,M7377,1.45102729014056,0.09073131644033536
M7421,M74,21,M,Yellowtail,1,M7493,1.0861190643501422,9.4836939926539e-4
M7421,M74,21,M,Schoolmaster,0,M7493,1.0861190643501422,9.4836939926539e-4
M7422,M74,22,M,Yellowtail,1,M7494,1.0891308021295187,0.0016671372081330015
M7422,M74,22,M,Schoolmaster,0,M7494,1.0891308021295187,0.0016671372081330015
T0158,T01,58,T,Yellowtail,1,T0114,1.1760264668734315,0.004073997500137558
T0158,T01,58,T,Schoolmaster,1,T0114,1.1760264668734315,0.004073997500137558
T0160,T01,60,T,Yellowtail,1,T0115,1.241068129477439,0.007879694508401902
T0160,T01,60,T,Schoolmaster,0,T0115,1.241068129477439,0.007879694508401902
T0168,T01,68,T,Yellowtail,1,T0116,1.3161058362949336,0.010539294846174727
T0168,T01,68,T,Schoolmaster,0,T0116,1.3161058362949336,0.010539294846174727
T0476,T04,76,T,Yellowtail,1,T0408,1.3449221443867045,0.01335533409561009
T0476,T04,76,T,Schoolmaster,1,T0408,1.3449221443867045,0.01335533409561009
T2069,T20,69,T,Yellowtail,1,T2009,1.325153703549256,0.011163663606618057
T2069,T20,69,T,Schoolmaster,0,T2009,1.325153703549256,0.011163663606618057
T2070,T20,70,T,Yellowtail,1,T2010,1.2799918540840254,0.006800054451355189
T2070,T20,70,T,Schoolmaster,1,T2010,1.2799918540840254,0.006800054451355189
T2072,T20,72,T,Yellowtail,1,T2012,1.242039107454135,0.006763252186977248
T2072,T20,72,T,Schoolmaster,1,T2012,1.242039107454135,0.006763252186977248
T2209,T22,09,T,Yellowtail,1,T2233,1.3166437458097084,0.01765021401894926
T2209,T22,09,T,Schoolmaster,1,T2233,1.3166437458097084,0.01765021401894926
T2210,T22,10,T,Yellowtail,1,T2234,1.3170146888323528,0.008682694974914489
T2210,T22,10,T,Schoolmaster,1,T2234,1.3170146888323528,0.008682694974914489
T2211,T22,11,T,Yellowtail,1,T2235,1.2550672130084903,0.009505484264508061
T2211,T22,11,T,Schoolmaster,0,T2235,1.2550672130084903,0.009505484264508061
T2212,T22,12,T,Yellowtail,1,T2236,1.2694416847015968,0.009163340262527976
T2212,T22,12,T,Schoolmaster,1,T2236,1.2694416847015968,0.009163340262527976
T2361,T23,61,T,Yellowtail,1,T2345,1.1147124121945744,0.0035885325704397343
T2361,T23,61,T,Schoolmaster,0,T2345,1.1147124121945744,0.0035885325704397343
T2369,T23,69,T,Yellowtail,1,T2346,1.0348499853433943,6.590447711604625e-4
T2369,T23,69,T,Schoolmaster,0,T2346,1.0348499853433943,6.590447711604625e-4
T2374,T23,74,T,Yellowtail,1,T2347,1.095939667424437,5.605086655163699e-4
T2374,T23,74,T,Schoolmaster,0,T2347,1.095939667424437,5.605086655163699e-4
T2378,T23,78,T,Yellowtail,1,T2348,1.093628937973542,0.0016335899233401623
T2378,T23,78,T,Schoolmaster,0,T2348,1.093628937973542,0.0016335899233401623
T2463,T24,63,T,Yellowtail,1,T2429,1.418108014660399,0.010865970719123125
T2463,T24,63,T,Schoolmaster,1,T2429,1.418108014660399,0.010865970719123125
T2464,T24,64,T,Yellowtail,1,T2430,1.265394763827128,0.009478075769229984
T2464,T24,64,T,Schoolmaster,1,T2430,1.265394763827128,0.009478075769229984
T2477,T24,77,T,Yellowtail,1,T2431,1.1526554314595416,0.00789239137762606
T2477,T24,77,T,Schoolmaster,1,T2431,1.1526554314595416,0.00789239137762606
T2479,T24,79,T,Yellowtail,1,T2432,1.3273918206105983,0.01088097388258294
T2479,T24,79,T,Schoolmaster,1,T2432,1.3273918206105983,0.01088097388258294
T3521,T35,21,T,Yellowtail,1,T3501,1.3568470803118542,0.005939566682322696
T3521,T35,21,T,Yellowtail,1,T3503,1.3387192809591308,0.002281174490735447
T3521,T35,21,T,Schoolmaster,0,T3501,1.3568470803118542,0.005939566682322696
T3521,T35,21,T,Schoolmaster,0,T3503,1.3387192809591308,0.002281174490735447
T3540,T35,40,T,Yellowtail,1,T3502,1.4110525681845996,0.007237273034476925
T3540,T35,40,T,Schoolmaster,0,T3502,1.4110525681845996,0.007237273034476925
T3713,T37,13,T,Yellowtail,1,T3717,1.3395380865823634,0.011786568942396424
T3713,T37,13,T,Schoolmaster,0,T3717,1.3395380865823634,0.011786568942396424
T3715,T37,15,T,Yellowtail,1,T3719,1.7758206582257265,0.06681995631051885
T3715,T37,15,T,Schoolmaster,1,T3719,1.7758206582257265,0.06681995631051885
T3716,T37,16,T,Yellowtail,1,T3720,1.9245901068623166,0.12353222198381424
T3716,T37,16,T,Schoolmaster,1,T3720,1.9245901068623166,0.12353222198381424
T3967,T39,67,T,Yellowtail,1,T3938,1.6970520894178454,0.04518805628156803
T3967,T39,67,T,Schoolmaster,1,T3938,1.6970520894178454,0.04518805628156803
T3971,T39,71,T,Yellowtail,1,T3939,1.6392678007323807,0.042785848728523125
T3971,T39,71,T,Schoolmaster,1,T3939,1.6392678007323807,0.042785848728523125
T3976,T39,76,T,Yellowtail,1,T3940,1.6251431723894807,0.09849158709804508
T3976,T39,76,T,Schoolmaster,1,T3940,1.6251431723894807,0.09849158709804508
T4301,T43,01,T,Yellowtail,1,T4321,1.9282433563094197,0.15506510956868985
T4301,T43,01,T,Schoolmaster,1,T4321,1.9282433563094197,0.15506510956868985
T4302,T43,02,T,Yellowtail,1,T4322,1.817139322179568,0.09354673740627303
T4302,T43,02,T,Schoolmaster,1,T4322,1.817139322179568,0.09354673740627303
T4303,T43,03,T,Yellowtail,1,T4323,2.3338153915809428,0.1523533579000038
T4303,T43,03,T,Schoolmaster,1,T4323,2.3338153915809428,0.1523533579000038
T4304,T43,04,T,Yellowtail,1,T4324,1.7634182676396057,0.0288113973840543
T4304,T43,04,T,Schoolmaster,1,T4324,1.7634182676396057,0.0288113973840543
T4512,T45,12,T,Yellowtail,1,T4525,2.2855841230642135,0.2406742893529256
T4512,T45,12,T,Schoolmaster,1,T4525,2.2855841230642135,0.2406742893529256
T4533,T45,33,T,Yellowtail,1,T4526,2.2788989798798207,0.1323925658185686
T4533,T45,33,T,Schoolmaster,1,T4526,2.2788989798798207,0.1323925658185686
T4572,T45,72,T,Yellowtail,1,T4527,1.7116083636939912,0.11575862740160349
T4572,T45,72,T,Schoolmaster,0,T4527,1.7116083636939912,0.11575862740160349
T4590,T45,90,T,Yellowtail,1,T4528,1.9945024837758663,0.06371862138155734
T4590,T45,90,T,Schoolmaster,1,T4528,1.9945024837758663,0.06371862138155734
